className,loc,authorsNumber,revisionsNumber,touchedLoc,totalAddedLines,averageAddedLines,maxAddedLines,totalChurn,maxChurn,numberFix,cyclomaticComplexity,averageChurn,daysBetweenCommits,buggy
"src/java/org/apache/avro/specific/SpecificCompiler.java",309,2,3,332,177,59.0,174,164,163,2,105,54.666668,7.0,true
"src/java/org/apache/avro/specific/SpecificData.java",94,1,1,29,28,28.0,28,29,29,0,15,29.0,0.0,true
"src/java/org/apache/avro/specific/SpecificDatumReader.java",45,1,1,14,6,6.0,6,6,6,0,1,6.0,0.0,true
"src/java/org/apache/avro/specific/SpecificDatumWriter.java",39,1,1,8,6,6.0,6,4,4,0,1,4.0,0.0,false
"src/java/org/apache/avro/specific/SpecificExceptionBase.java",40,0,0,0,0,0.0,0,0,0,0,1,0.0,0.0,true
"src/java/org/apache/avro/specific/SpecificFixed.java",28,0,0,0,0,0.0,0,0,0,0,1,0.0,0.0,false
"src/java/org/apache/avro/specific/SpecificRecord.java",27,0,0,0,0,0.0,0,0,0,0,1,0.0,0.0,false
"src/java/org/apache/avro/specific/SpecificRecordBase.java",71,0,0,0,0,0.0,0,0,0,0,9,0.0,0.0,true
"src/java/org/apache/avro/specific/SpecificRequestor.java",80,1,1,2,1,1.0,1,0,0,0,7,0.0,0.0,false
"src/java/org/apache/avro/specific/SpecificResponder.java",40,1,1,2,1,1.0,1,0,0,0,1,0.0,0.0,true
"src/java/org/apache/avro/util/Utf8.java",87,0,0,0,0,0.0,0,0,0,0,12,0.0,0.0,false
"lang/java/src/java/org/apache/avro/AvroRuntimeException.java",28,1,1,29,29,29.0,29,29,29,0,1,29.0,0.0,false
"lang/java/src/java/org/apache/avro/AvroTypeException.java",28,1,1,29,29,29.0,29,29,29,0,1,29.0,0.0,false
"lang/java/src/java/org/apache/avro/Protocol.java",387,2,3,398,393,131.0,388,390,388,0,62,130.0,14.0,false
"lang/java/src/java/org/apache/avro/Schema.java",1087,3,7,1211,1149,164.14285,913,1103,913,2,203,157.57143,4.666666666666667,false
"lang/java/src/java/org/apache/avro/SchemaParseException.java",25,1,1,26,26,26.0,26,26,26,0,1,26.0,0.0,false
"lang/java/src/java/org/apache/avro/file/Codec.java",50,2,4,80,65,16.25,39,58,39,0,3,14.5,9.666666666666666,false
"lang/java/src/java/org/apache/avro/file/CodecFactory.java",76,2,2,76,76,38.0,70,76,70,0,3,38.0,29.0,false
"lang/java/src/java/org/apache/avro/file/DataFileConstants.java",38,2,3,46,42,14.0,37,40,37,0,1,13.333333,7.0,false
"lang/java/src/java/org/apache/avro/file/DataFileReader.java",168,1,3,281,225,75.0,149,231,149,0,27,77.0,19.5,false
"lang/java/src/java/org/apache/avro/file/DataFileStream.java",267,2,6,384,326,54.333332,177,318,177,0,49,53.0,7.8,false
"lang/java/src/java/org/apache/avro/file/DataFileWriter.java",374,2,6,456,415,69.166664,238,416,238,0,43,69.333336,7.8,false
"lang/java/src/java/org/apache/avro/file/DeflateCodec.java",145,2,5,223,184,36.8,104,175,104,0,12,35.0,7.25,false
"lang/java/src/java/org/apache/avro/file/LengthLimitedInputStream.java",85,1,1,85,85,85.0,85,85,85,0,11,85.0,0.0,false
"lang/java/src/java/org/apache/avro/file/NullCodec.java",64,2,5,114,89,17.8,57,84,57,0,4,16.8,7.25,false
