@relation bookkeeper_Training_4

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
55,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
191,0,0,0,0,0.00,0,0,0,0,22,0.00,0.00,NO
90,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
273,0,0,0,0,0.00,0,0,0,0,29,0.00,0.00,YES
137,0,0,0,0,0.00,0,0,0,0,5,0.00,0.00,NO
79,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
82,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
147,0,0,0,0,0.00,0,0,0,0,8,0.00,0.00,NO
422,0,0,0,0,0.00,0,0,0,0,24,0.00,0.00,NO
979,1,1,9,5,5.00,5,1,1,1,60,1.00,0.00,YES
495,2,2,62,45,22.50,40,50,48,2,49,25.00,45.00,YES
189,0,0,0,0,0.00,0,0,0,0,15,0.00,0.00,NO
167,1,1,58,36,36.00,36,36,36,1,10,36.00,0.00,YES
86,1,1,4,3,3.00,3,2,2,1,4,2.00,0.00,NO
182,0,0,0,0,0.00,0,0,0,0,14,0.00,0.00,YES
361,1,1,39,21,21.00,21,25,25,1,38,25.00,0.00,NO
126,0,0,0,0,0.00,0,0,0,0,15,0.00,0.00,NO
106,0,0,0,0,0.00,0,0,0,0,8,0.00,0.00,NO
109,0,0,0,0,0.00,0,0,0,0,6,0.00,0.00,NO
85,0,0,0,0,0.00,0,0,0,0,4,0.00,0.00,NO
236,0,0,0,0,0.00,0,0,0,0,4,0.00,0.00,NO
315,2,2,7,4,2.00,3,1,1,2,3,0.50,45.00,NO
695,3,6,36,20,3.33,5,8,2,6,7,1.33,9.00,NO
27,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
89,0,0,0,0,0.00,0,0,0,0,7,0.00,0.00,NO
301,1,1,2,1,1.00,1,0,0,1,29,0.00,0.00,YES
153,0,0,0,0,0.00,0,0,0,0,11,0.00,0.00,YES
92,0,0,0,0,0.00,0,0,0,0,9,0.00,0.00,NO
466,1,2,4,2,1.00,1,0,0,2,42,0.00,0.00,YES
93,0,0,0,0,0.00,0,0,0,0,10,0.00,0.00,NO
